track_id,track_name,artist_names,isrc,duration_ms,explicit,features_found,match_source,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike,USQX92401824,164282,False,1,spotify_id,0.642,0.731,0.33,3.49e-05,0.0,0.082,-10.925,1.0,0.0594,81.519,0.704
09xpQPfKWdio1wx6v17dGa,SAFARI,"Tyler, The Creator",USQX92102409,177742,True,1,spotify_id,0.0618,0.471,0.71,1.7e-06,1.0,0.338,-6.462,0.0,0.213,80.453,0.599
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,USRC11803252,158205,True,1,spotify_id,0.181,0.721,0.707,3.68e-06,6.0,0.143,-6.364,1.0,0.0595,125.005,0.743
6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,Jordan Ward,USUM72114936,141520,True,1,spotify_id,0.566,0.858,0.435,0.0893,6.0,0.106,-9.611,0.0,0.116,136.891,0.824
5fX8WljoAFrmFrFqahjz4Y,Dancing In The Courthouse,Dominic Fike,USQX92301814,157563,False,1,spotify_id,0.0879,0.571,0.758,0.0,2.0,0.326,-4.518,1.0,0.065,76.503,0.723
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,USUG12506174,163866,False,1,spotify_id,0.802,0.446,0.301,0.000164,7.0,0.105,-12.748,0.0,0.218,80.572,0.589
0cJTBlSiodwtdA5vdIbHhB,Pretend Lovers,Montell Fish,QZVBE2200012,193671,False,1,spotify_id,0.925,0.647,0.387,0.0288,8.0,0.104,-7.173,1.0,0.25,120.039,0.397
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons,USSM17801024,215319,False,1,spotify_id,0.0765,0.774,0.641,0.0,1.0,0.0867,-10.193,1.0,0.0799,113.256,0.875
3lFVdFLQeBXLxqKxqwqIfS,Darlin',Jean Dawson,QZ9H32400056,208626,False,1,spotify_id,0.435,0.578,0.341,0.0403,10.0,0.14,-8.018,1.0,0.0312,145.906,0.321
1ymikhI2taCMNkmn9GO9CZ,a rose blooms in chaos,Davishmar,DEUD42432360,116831,False,1,spotify_id,0.901,0.417,0.443,0.0507,6.0,0.154,-10.882,1.0,0.0574,73.088,0.704
