track_id,track_name,artist_names,isrc,duration_ms,explicit,features_found,match_source,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2SWqVCbl51UX5xgDHvE1uT,7 Hours,Dominic Fike,USQX92301813,168094,True,1,spotify_id,0.625,0.67,0.409,0.0,0.0,0.211,-10.406,1.0,0.106,80.468,0.595
1dlOr60VqwO8DIGn9TLeeu,Regressa,Kaz Moon,GX3Q92378968,99217,False,1,spotify_id,0.742,0.636,0.408,0.0523,1.0,0.108,-11.448,1.0,0.298,88.535,0.799
3my33XXLpYUzVEeLOyftV2,Frisky,Dominic Fike,USQX92301819,115618,False,1,spotify_id,0.206,0.858,0.48,0.0,9.0,0.0733,-5.502,1.0,0.0498,97.009,0.813
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd,USUM72401132,157974,False,1,spotify_id,0.0288,0.565,0.593,0.0,8.0,0.215,-5.864,1.0,0.0883,120.509,0.429
2P6YMsU9jt22CXfizfudi3,Love Hangover (feat. Dominic Fike),"JENNIE, Dominic Fike",USQX92500253,180129,True,1,spotify_id,0.164,0.648,0.78,0.0,0.0,0.0971,-6.977,0.0,0.194,147.956,0.668
70kdJnm1X6eEM8DbWa8Mnc,YOU'RE THE ONE,"KAYTRANADA, Syd",GBBKS1600023,227706,False,1,spotify_id,0.0323,0.824,0.396,0.00286,2.0,0.108,-9.663,1.0,0.332,118.048,0.253
0o96RPgCulsYKqZK3u14nM,cola head,Willow Kayne,QZK6Q2377800,143157,False,1,spotify_id,0.0498,0.765,0.648,0.0,0.0,0.085,-6.96,1.0,0.0721,114.013,0.671
3gJDgenxLephg09x86IxPs,TEMPTATION,Joey Bada$$,QMKSC1700042,244197,True,1,spotify_id,0.397,0.775,0.707,0.0,10.0,0.874,-5.339,0.0,0.152,104.979,0.78
3dAk7Z16rv38qRM3MIhCIX,Comfort Me,Malcolm Todd,USSM12408089,171111,True,1,spotify_id,0.289,0.858,0.577,0.0108,1.0,0.268,-6.209,0.0,0.0344,108.017,0.81
5kukZPbylK4zbZ5xrL1mfV,LETTERMAN,"Tommy Richman, Paco",USC4R2446573,160000,True,1,spotify_id,0.624,0.74,0.398,0.0,7.0,0.134,-6.714,0.0,0.302,179.931,0.853
08vlprFBmwh9TQnjXUtZDG,FAMJAM4000,Jordan Ward,USUM72300085,158133,False,1,spotify_id,0.434,0.871,0.57,0.452,6.0,0.145,-7.421,0.0,0.0676,116.563,0.711
6w7eHZFNdOpg2teEBCqjy2,on & on - Sammy Virji Remix,"piri & tommy, Sammy Virji, Tommy Villiers",GBUM72206333,131958,False,1,spotify_id,0.165,0.833,0.765,0.00723,11.0,0.0957,-3.792,0.0,0.051,127.947,0.797
4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon,USWB12104065,151565,False,1,spotify_id,0.182,0.752,0.823,0.0,1.0,0.213,-6.267,1.0,0.139,112.888,0.709
5LyKocU0lhUBlXrFKDxbBO,Snap My Finger (feat. PinkPantheress),"KAYTRANADA, PinkPantheress",USRC12401536,201371,True,1,spotify_id,0.016,0.772,0.639,0.00975,5.0,0.431,-7.876,0.0,0.0455,117.99,0.497
2FeaWWfbpM70QgZQnScloz,Availability,Ethel,QZR8K2441205,172000,False,1,spotify_id,0.0912,0.927,0.412,2.77e-05,7.0,0.0969,-7.596,1.0,0.0413,105.988,0.709
2FdDv1zi70hiOBOAsQeaXf,Robot Lovers,Willow Kayne,QM6MZ2407912,154406,False,1,spotify_id,0.132,0.672,0.645,4.69e-05,0.0,0.103,-7.127,1.0,0.0415,103.904,0.387
71DSaeKtXQaMAqnvMT7Uoc,Mona Lisa,Dominic Fike,USQX92303644,186066,False,1,spotify_id,0.231,0.759,0.646,0.0,1.0,0.161,-7.603,1.0,0.12,111.043,0.445
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,USC4R2445163,130944,True,1,spotify_id,0.174,0.904,0.452,0.0,9.0,0.115,-7.272,1.0,0.132,90.026,0.613
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells",USA2P2463486,180000,False,1,spotify_id,0.286,0.762,0.789,0.689,1.0,0.418,-6.261,0.0,0.0288,128.004,0.78
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino,USRC12402305,160988,False,1,spotify_id,0.107,0.836,0.553,9.22e-06,0.0,0.105,-10.71,1.0,0.0383,85.01,0.833
2Nq4SFbvYYZa8AF7lD7CWU,Sexy to Someone,Clairo,USA2P2416224,207795,False,1,spotify_id,0.338,0.716,0.545,0.00344,0.0,0.101,-6.949,0.0,0.0329,98.232,0.82
