track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,played_at,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,weather_hour,latitude,longitude,station_id,observation_time,weather_time_diff_seconds,temperature_c,dewpoint_c,wind_speed_m_s,wind_direction_deg,barometric_pressure_pa,visibility_m,relative_humidity,text_description,weather_label
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:57:56.823Z,0,,,,,,,,,,,,,,,,2026-03-16 14:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-16 14:00:00+00:00,0.0,4.0,2.0,,,99458.23,3218.69,86.803362953546,Light Rain and Fog/Mist,light_rain_and_fog/mist
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:54:16.485Z,0,,,,,,,,,,,,,,,,2026-03-16 14:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-16 14:00:00+00:00,0.0,4.0,2.0,,,99458.23,3218.69,86.803362953546,Light Rain and Fog/Mist,light_rain_and_fog/mist
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:45:07.009Z,0,,,,,,,,,,,,,,,,2026-03-16 14:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-16 14:00:00+00:00,0.0,4.0,2.0,,,99458.23,3218.69,86.803362953546,Light Rain and Fog/Mist,light_rain_and_fog/mist
2I9foKseoFQh07p6sD2voE,Many Men (Wish Death),50 Cent,track,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,256226,,True,4,2026-03-16T14:39:21.093Z,0,,,,,,,,,,,,,,,,2026-03-16 14:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-16 14:00:00+00:00,0.0,4.0,2.0,,,99458.23,3218.69,86.803362953546,Light Rain and Fog/Mist,light_rain_and_fog/mist
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike,track,spotify:track:4mY6K0hRQlpOs3hyTNOcKe,https://api.spotify.com/v1/tracks/4mY6K0hRQlpOs3hyTNOcKe,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,164282,,False,4,2026-03-16T13:48:26.465Z,1,spotify_id,8751fdee-5898-4e4d-a594-dca4eaf1a3ea,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,USQX92401824,0.642,0.731,0.33,3.49e-05,0.0,0.082,-10.925,1.0,0.0594,81.519,0.704,2026-03-16 13:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-16 13:00:00+00:00,0.0,6.0,4.0,,,99288.91,12874.75,87.000902360951,Light Rain,light_rain
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike,track,spotify:track:4mY6K0hRQlpOs3hyTNOcKe,https://api.spotify.com/v1/tracks/4mY6K0hRQlpOs3hyTNOcKe,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,164282,,False,4,2026-03-13T16:58:42.484Z,1,spotify_id,8751fdee-5898-4e4d-a594-dca4eaf1a3ea,https://open.spotify.com/track/4mY6K0hRQlpOs3hyTNOcKe,USQX92401824,0.642,0.731,0.33,3.49e-05,0.0,0.082,-10.925,1.0,0.0594,81.519,0.704,2026-03-13 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,119400.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
09xpQPfKWdio1wx6v17dGa,SAFARI,"Tyler, The Creator",track,spotify:track:09xpQPfKWdio1wx6v17dGa,https://api.spotify.com/v1/tracks/09xpQPfKWdio1wx6v17dGa,https://open.spotify.com/track/09xpQPfKWdio1wx6v17dGa,177742,,True,16,2026-03-12T23:33:44.826Z,1,spotify_id,1ecc3bd8-1609-4bf3-9762-3181eac6a796,https://open.spotify.com/track/09xpQPfKWdio1wx6v17dGa,USQX92102409,0.0618,0.471,0.71,1.7e-06,1.0,0.338,-6.462,0.0,0.213,80.453,0.599,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,track,spotify:track:2aPTvyE09vUCRwVvj0I8WK,https://api.spotify.com/v1/tracks/2aPTvyE09vUCRwVvj0I8WK,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,158205,,True,1,2026-03-12T23:29:23.692Z,1,spotify_id,d22e9d42-c65c-4b10-b37b-e7482a7a3455,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,USRC11803252,0.181,0.721,0.707,3.68e-06,6.0,0.143,-6.364,1.0,0.0595,125.005,0.743,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,Jordan Ward,track,spotify:track:6nXiaXqSZAJuOG6q66mZV1,https://api.spotify.com/v1/tracks/6nXiaXqSZAJuOG6q66mZV1,https://open.spotify.com/track/6nXiaXqSZAJuOG6q66mZV1,141520,,True,1,2026-03-12T23:25:27.314Z,1,spotify_id,8e4b34ab-9fd5-40a2-b700-6496ebb72637,https://open.spotify.com/track/6nXiaXqSZAJuOG6q66mZV1,USUM72114936,0.566,0.858,0.435,0.0893,6.0,0.106,-9.611,0.0,0.116,136.891,0.824,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:20:18.414Z,0,,,,,,,,,,,,,,,,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
