track_id,track_name,artist_names
4mY6K0hRQlpOs3hyTNOcKe,THICKRICK,Dominic Fike
09xpQPfKWdio1wx6v17dGa,SAFARI,"Tyler, The Creator"
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky
6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,Jordan Ward
5fX8WljoAFrmFrFqahjz4Y,Dancing In The Courthouse,Dominic Fike
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber
0cJTBlSiodwtdA5vdIbHhB,Pretend Lovers,Montell Fish
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons
3lFVdFLQeBXLxqKxqwqIfS,Darlin',Jean Dawson
1ymikhI2taCMNkmn9GO9CZ,a rose blooms in chaos,Davishmar
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,"Kendrick Lamar, George Clinton, Thundercat"
4b82tXj35SycILuILcgBQ6,Hoe Cakes,MF DOOM
5oHefuJW6udg0pphl5KXwN,Poo-Putt Platter,MF DOOM
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN
6FcDxtnGfsYHOcGkXN2OIG,Add Up My Love,Clairo
2pNYM3OcS7WdCW13TuhMeK,Yoshinoya,Childish Gambino
0yxOhm9EgkEDjAbXLyoObO,RUFF RIDE,"Samant, Lou Val"
1sDW4P9FwNREiBNtEduDDQ,Winterfalls,Terrell Morris
7tzgX2LHRfWmRlsbSN4pQR,Royale With Cheese,"John Travolta, Samuel L. Jackson"
4JfpJrrGNXRj2yXm1fYV23,Lithonia,Childish Gambino
1xKGnsdKOh8jx8pzSZAgXE,5 Dollar Pony Rides,Mac Miller
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator"
7zTTDkkLkJ2iHAqq1daDCr,OUTTA MY MIND,Monsune
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino
7BPadP3q9qwMkho3IMPU99,BURN,"¥$, Kanye West, Ty Dolla $ign"
0NjW4SKY3gbfl2orl1p8hr,IFHY (feat. Pharrell),"Tyler, The Creator, Pharrell Williams"
6c7l5gpEyCNGr86jsWneGy,Awkward,"Tyler, The Creator"
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells"
57ENogEkvFsU7Wmt3lvQMG,Two Six,J. Cole
3SH1vOTwgg5Ma1NhHaXvrA,Echo,The Marías
4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon
3IJCSQoLF4YzPAKaxq2JLb,Yoga,"Janelle Monáe, Jidenna"
5J75NvHDMTbJtLqym6CXuI,Do 2 Me (feat. Anderson .Paak & SiR),"KAYTRANADA, Anderson .Paak, SiR"
10wbN21d8FXT0cFIaCw1yV,Enchanté,Tim Atlas
1h3ODYcDJly0H53W2Ai42Q,Electric U,Kid Bloom
6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,J. Cole
