track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,added_at,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0VV0AMmgLBUhzuFedr3F3e,Dance No More,Harry Styles,track,spotify:track:0VV0AMmgLBUhzuFedr3F3e,https://api.spotify.com/v1/tracks/0VV0AMmgLBUhzuFedr3F3e,https://open.spotify.com/track/0VV0AMmgLBUhzuFedr3F3e,194880,87.0,False,10,2026-03-15T15:38:06Z,1,spotify_id,a4e7499d-2e4e-4dee-8b3c-bda6b214ee38,https://open.spotify.com/track/0VV0AMmgLBUhzuFedr3F3e,USSM12600105,0.0782,0.845,0.752,0.107,0.0,0.115,-5.287,1.0,0.0866,117.015,0.786
7lmsi1pVDa3HnfeinsL89t,CYANIDE,Daniel Caesar,track,spotify:track:7lmsi1pVDa3HnfeinsL89t,https://api.spotify.com/v1/tracks/7lmsi1pVDa3HnfeinsL89t,https://open.spotify.com/track/7lmsi1pVDa3HnfeinsL89t,194959,73.0,True,2,2026-03-12T20:16:58Z,1,spotify_id,d3920878-44ea-4644-9d70-e97723194609,https://open.spotify.com/track/7lmsi1pVDa3HnfeinsL89t,QM6N21983282,0.704,0.589,0.652,0.000565,10.0,0.125,-7.498,1.0,0.373,158.482,0.486
3IJCSQoLF4YzPAKaxq2JLb,Yoga,"Janelle Monáe, Jidenna",track,spotify:track:3IJCSQoLF4YzPAKaxq2JLb,https://api.spotify.com/v1/tracks/3IJCSQoLF4YzPAKaxq2JLb,https://open.spotify.com/track/3IJCSQoLF4YzPAKaxq2JLb,215532,64.0,False,1,2026-03-07T00:52:11Z,1,spotify_id,0ffb2683-3877-4e59-80da-f8d23e9ee32a,https://open.spotify.com/track/3IJCSQoLF4YzPAKaxq2JLb,USSM11501402,0.0159,0.74,0.546,8.41e-05,7.0,0.209,-5.674,0.0,0.0498,130.028,0.375
1e46ZC7vtQcyGEOFbyv1df,Patagonia,Patawawa,track,spotify:track:1e46ZC7vtQcyGEOFbyv1df,https://api.spotify.com/v1/tracks/1e46ZC7vtQcyGEOFbyv1df,https://open.spotify.com/track/1e46ZC7vtQcyGEOFbyv1df,205210,51.0,False,1,2026-03-03T23:17:54Z,0,,,,,,,,,,,,,,,
10wbN21d8FXT0cFIaCw1yV,Enchanté,Tim Atlas,track,spotify:track:10wbN21d8FXT0cFIaCw1yV,https://api.spotify.com/v1/tracks/10wbN21d8FXT0cFIaCw1yV,https://open.spotify.com/track/10wbN21d8FXT0cFIaCw1yV,162600,50.0,False,1,2026-03-03T23:14:26Z,1,spotify_id,7ddb1d66-1e02-40a8-b372-b3ada94f84b3,https://open.spotify.com/track/10wbN21d8FXT0cFIaCw1yV,CAN112401087,0.115,0.882,0.465,0.111,4.0,0.082,-7.674,0.0,0.0739,109.988,0.683
0bSv2vtkHtIUFD3DF06X8D,White Keys,Dominic Fike,track,spotify:track:0bSv2vtkHtIUFD3DF06X8D,https://api.spotify.com/v1/tracks/0bSv2vtkHtIUFD3DF06X8D,https://open.spotify.com/track/0bSv2vtkHtIUFD3DF06X8D,144101,66.0,False,2,2026-03-03T16:40:21Z,1,spotify_id,7ce288ac-0001-43ff-9d6e-05d62a8f0663,https://open.spotify.com/track/0bSv2vtkHtIUFD3DF06X8D,USQX92506204,0.781,0.713,0.549,1.61e-05,11.0,0.146,-8.513,0.0,0.191,81.973,0.842
447Vib1hJsXGnbhTbYYT8t,Babydoll,Dominic Fike,track,spotify:track:447Vib1hJsXGnbhTbYYT8t,https://api.spotify.com/v1/tracks/447Vib1hJsXGnbhTbYYT8t,https://open.spotify.com/track/447Vib1hJsXGnbhTbYYT8t,97960,62.0,False,1,2026-03-03T16:40:20Z,1,spotify_id,0a6e9d7e-8738-45d7-b0a5-526694dcd602,https://open.spotify.com/track/447Vib1hJsXGnbhTbYYT8t,USQX91802457,0.114,0.762,0.604,0.0,7.0,0.0271,-5.296,0.0,0.11,167.991,0.846
2LSmH4vxyRhkJ2pPqcmkXw,NOBLE,F3miii,track,spotify:track:2LSmH4vxyRhkJ2pPqcmkXw,https://api.spotify.com/v1/tracks/2LSmH4vxyRhkJ2pPqcmkXw,https://open.spotify.com/track/2LSmH4vxyRhkJ2pPqcmkXw,185806,64.0,False,1,2026-02-28T23:37:05Z,0,,,,,,,,,,,,,,,
5dFG12OQz10CbUFZIYH0gv,Un Millón,The Marías,track,spotify:track:5dFG12OQz10CbUFZIYH0gv,https://api.spotify.com/v1/tracks/5dFG12OQz10CbUFZIYH0gv,https://open.spotify.com/track/5dFG12OQz10CbUFZIYH0gv,167386,64.0,False,8,2026-02-28T03:01:22Z,1,spotify_id,60e86ee7-7db7-407b-9a31-e187ce5935c2,https://open.spotify.com/track/5dFG12OQz10CbUFZIYH0gv,USAT22100697,0.24,0.748,0.464,0.0747,0.0,0.0726,-8.527,1.0,0.135,176.026,0.226
19fKJrO9XdOf6Xla2QHecO,Run Your Mouth,The Marías,track,spotify:track:19fKJrO9XdOf6Xla2QHecO,https://api.spotify.com/v1/tracks/19fKJrO9XdOf6Xla2QHecO,https://open.spotify.com/track/19fKJrO9XdOf6Xla2QHecO,160000,73.0,False,4,2026-02-28T02:45:46Z,1,spotify_id,dc3b3fca-0d64-4e5c-8fad-a6966a96d5b0,https://open.spotify.com/track/19fKJrO9XdOf6Xla2QHecO,USAT22400351,0.249,0.781,0.649,0.0349,7.0,0.229,-6.866,1.0,0.0363,111.005,0.916
