track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,rank,time_range,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2SWqVCbl51UX5xgDHvE1uT,7 Hours,Dominic Fike,track,spotify:track:2SWqVCbl51UX5xgDHvE1uT,https://api.spotify.com/v1/tracks/2SWqVCbl51UX5xgDHvE1uT,https://open.spotify.com/track/2SWqVCbl51UX5xgDHvE1uT,168094,,True,5,1,long_term,1,spotify_id,3a768537-d958-40e5-a033-126f0c0af604,https://open.spotify.com/track/2SWqVCbl51UX5xgDHvE1uT,USQX92301813,0.625,0.67,0.409,0.0,0.0,0.211,-10.406,1.0,0.106,80.468,0.595
1dlOr60VqwO8DIGn9TLeeu,Regressa,Kaz Moon,track,spotify:track:1dlOr60VqwO8DIGn9TLeeu,https://api.spotify.com/v1/tracks/1dlOr60VqwO8DIGn9TLeeu,https://open.spotify.com/track/1dlOr60VqwO8DIGn9TLeeu,99217,,False,5,2,long_term,1,spotify_id,2ba2266a-5405-44c9-a4e0-b7622866e75e,https://open.spotify.com/track/1dlOr60VqwO8DIGn9TLeeu,GX3Q92378968,0.742,0.636,0.408,0.0523,1.0,0.108,-11.448,1.0,0.298,88.535,0.799
3my33XXLpYUzVEeLOyftV2,Frisky,Dominic Fike,track,spotify:track:3my33XXLpYUzVEeLOyftV2,https://api.spotify.com/v1/tracks/3my33XXLpYUzVEeLOyftV2,https://open.spotify.com/track/3my33XXLpYUzVEeLOyftV2,115618,,False,12,3,long_term,1,spotify_id,b93b9560-d80f-4e4c-a527-6b885cc0c8be,https://open.spotify.com/track/3my33XXLpYUzVEeLOyftV2,USQX92301819,0.206,0.858,0.48,0.0,9.0,0.0733,-5.502,1.0,0.0498,97.009,0.813
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd,track,spotify:track:3SAga35lAPYdjj3qyfEsCF,https://api.spotify.com/v1/tracks/3SAga35lAPYdjj3qyfEsCF,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF,157974,,False,1,4,long_term,1,spotify_id,ab34d1e8-7c6a-43b3-8ae6-25f3b49635e6,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF,USUM72401132,0.0288,0.565,0.593,0.0,8.0,0.215,-5.864,1.0,0.0883,120.509,0.429
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,5,long_term,0,,,,,,,,,,,,,,,
2P6YMsU9jt22CXfizfudi3,Love Hangover (feat. Dominic Fike),"JENNIE, Dominic Fike",track,spotify:track:2P6YMsU9jt22CXfizfudi3,https://api.spotify.com/v1/tracks/2P6YMsU9jt22CXfizfudi3,https://open.spotify.com/track/2P6YMsU9jt22CXfizfudi3,180129,,True,1,6,long_term,1,spotify_id,3d79a618-483e-43ed-a5d6-ea849bb67e4b,https://open.spotify.com/track/2P6YMsU9jt22CXfizfudi3,USQX92500253,0.164,0.648,0.78,0.0,0.0,0.0971,-6.977,0.0,0.194,147.956,0.668
32GOfiLnbER2VOOxJkg29P,Forever,ZULAN,track,spotify:track:32GOfiLnbER2VOOxJkg29P,https://api.spotify.com/v1/tracks/32GOfiLnbER2VOOxJkg29P,https://open.spotify.com/track/32GOfiLnbER2VOOxJkg29P,159120,,False,1,7,long_term,0,,,,,,,,,,,,,,,
70kdJnm1X6eEM8DbWa8Mnc,YOU'RE THE ONE,"KAYTRANADA, Syd",track,spotify:track:70kdJnm1X6eEM8DbWa8Mnc,https://api.spotify.com/v1/tracks/70kdJnm1X6eEM8DbWa8Mnc,https://open.spotify.com/track/70kdJnm1X6eEM8DbWa8Mnc,227706,,False,11,8,long_term,1,spotify_id,98471de9-347d-446c-a08e-e34be4d36d5a,https://open.spotify.com/track/70kdJnm1X6eEM8DbWa8Mnc,GBBKS1600023,0.0323,0.824,0.396,0.00286,2.0,0.108,-9.663,1.0,0.332,118.048,0.253
0o96RPgCulsYKqZK3u14nM,cola head,Willow Kayne,track,spotify:track:0o96RPgCulsYKqZK3u14nM,https://api.spotify.com/v1/tracks/0o96RPgCulsYKqZK3u14nM,https://open.spotify.com/track/0o96RPgCulsYKqZK3u14nM,143157,,False,5,9,long_term,1,spotify_id,ec97ee83-288f-46b9-97d2-09deaa856da8,https://open.spotify.com/track/0o96RPgCulsYKqZK3u14nM,QZK6Q2377800,0.0498,0.765,0.648,0.0,0.0,0.085,-6.96,1.0,0.0721,114.013,0.671
3gJDgenxLephg09x86IxPs,TEMPTATION,Joey Bada$$,track,spotify:track:3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/tracks/3gJDgenxLephg09x86IxPs,https://open.spotify.com/track/3gJDgenxLephg09x86IxPs,244197,,True,3,10,long_term,1,spotify_id,9dd5e7e9-9cd6-45ca-b907-76134080e90f,https://open.spotify.com/track/3gJDgenxLephg09x86IxPs,QMKSC1700042,0.397,0.775,0.707,0.0,10.0,0.874,-5.339,0.0,0.152,104.979,0.78
