track_id,track_name,artist_names
2SWqVCbl51UX5xgDHvE1uT,7 Hours,Dominic Fike
1dlOr60VqwO8DIGn9TLeeu,Regressa,Kaz Moon
3my33XXLpYUzVEeLOyftV2,Frisky,Dominic Fike
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd
2P6YMsU9jt22CXfizfudi3,Love Hangover (feat. Dominic Fike),"JENNIE, Dominic Fike"
70kdJnm1X6eEM8DbWa8Mnc,YOU'RE THE ONE,"KAYTRANADA, Syd"
0o96RPgCulsYKqZK3u14nM,cola head,Willow Kayne
3gJDgenxLephg09x86IxPs,TEMPTATION,Joey Bada$$
3dAk7Z16rv38qRM3MIhCIX,Comfort Me,Malcolm Todd
5kukZPbylK4zbZ5xrL1mfV,LETTERMAN,"Tommy Richman, Paco"
08vlprFBmwh9TQnjXUtZDG,FAMJAM4000,Jordan Ward
6w7eHZFNdOpg2teEBCqjy2,on & on - Sammy Virji Remix,"piri & tommy, Sammy Virji, Tommy Villiers"
4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon
5LyKocU0lhUBlXrFKDxbBO,Snap My Finger (feat. PinkPantheress),"KAYTRANADA, PinkPantheress"
2FeaWWfbpM70QgZQnScloz,Availability,Ethel
2FdDv1zi70hiOBOAsQeaXf,Robot Lovers,Willow Kayne
71DSaeKtXQaMAqnvMT7Uoc,Mona Lisa,Dominic Fike
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells"
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino
2Nq4SFbvYYZa8AF7lD7CWU,Sexy to Someone,Clairo
17kygxrx5eoU1EsHSr1dos,Los Santos,Current Blue
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike
3awYmrxWHNBpmJ81YxSCAn,Colorado Kyle (Live),Arcy Drive
2k9cIkCVD4zotzFL6xj6hg,"Player Two - From ""Don't Tell Mom The Babysitter's Dead""",Jordan Ward
1Ad2HcIX9zBqoWRvxtpYGf,Candle Flame,"Jungle, Erick the Architect"
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN
0zikWa6k06uycAkRB8CsXA,hi grace,Dominic Fike
13HalBseZHAT19C6jWs1Ma,Probably Up,Lawrence
4Q9ExJGFgL9Jd9kmYH3nXs,Miss possessive,Tate McRae
71p2ub5QJhJTzfvXbXaUXd,High No More,Hajaj
46Y9vXsmtnYZdEwny4o1Dd,Medallion,Jenevieve
36GforftaCASOR8kBnhqN8,I Wasn’t There,"Kevin Abstract, DERBY"
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter
1Nk1kQx3HmUaobcAu9S26f,ACTIN UP,Tommy Richman
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike
3orJAvBLWveT5ruftD5KoP,More to Love,Elle Eliades
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas
2nFDM7uMOdPGPz37FluIob,Superficial,Lawrence
5lSszsPqufMetObXX3zCQU,In a Trance,Malcolm Todd
45J4avUb9Ni0bnETYaYFVJ,luther (with sza),"Kendrick Lamar, SZA"
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"Kanye West, Syleena Johnson"
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers
3qdskG3Sc6E2OddOfyBUpt,Spooky - Quinten 909 Radio Mix,"Dusty Springfield, Quinten 909"
